title,authors,
Generalization Bounds for the Area Under the {ROC} Curve,5,
Multiclass Classification with Multi-Prototype Support Vector Machines,3,
Separating a Real-Life Nonlinear Image Mixture,1,
A Framework for Learning Predictive Structures from Multiple Tasks and Unlabeled Data,2,
Clustering on the Unit Hypersphere using von Mises-Fisher Distributions,4,
Clustering with Bregman Divergences,4,
Learning a Mahalanobis Metric from Equivalence Constraints,4,
Universal Algorithms for Learning Theory Part {I} : Piecewise Constant Functions,5,
Active Coevolutionary Learning of Deterministic Finite Automata,2,
Fast Kernel Classifiers with Online and Active Learning,4,
A Bayes Optimal Approach for Partitioning the Values of Categorical Attributes,1,
Managing Diversity in Regression Ensembles,3,
A Unifying View of Sparse Approximate Gaussian Process Regression,3,
Information Bottleneck for Gaussian Variables,4,
Gaussian Processes for Ordinal Regression,2,
Local Propagation in Conditional Gaussian Bayesian Networks,1,
Semigroup Kernels on Measures,3,
A Bayesian Model for Supervised Clustering with the Dirichlet Process Prior,2,
Smooth epsiloon-Insensitive Regression by Loss Symmetrization,3,
"On the Nystr{\""{o}}m Method for Approximating a Gram Matrix for Improved Kernel-Based Learning",2,
Concentration Bounds for Unigram Language Models,2,
Multiclass Boosting for Weak Classifiers,2,
Learning Hidden Variable Networks: The Information Bottleneck Approach,2,
Stability of Randomized Learning Algorithms,3,
Tree-Based Batch Mode Reinforcement Learning,3,
Learning Multiple Tasks with Kernel Methods,3,
Working Set Selection Using Second Order Information for Training Support Vector Machines,3,
Quasi-Geodesic Neural Learning Algorithms Over the Orthogonal Group: {A} Tutorial,1,
New Horn Revision Algorithms,2,
Kernel Methods for Measuring Independence,6,
Convergence Theorems for Generalized Alternating Minimization Procedures,2,
Adaptive Online Prediction by Following the Perturbed Leader,3,
Estimation of Non-Normalized Statistical Models by Score Matching,1,
Loopy Belief Propagation: Convergence and Effects of Message Errors,4,
Generalization Bounds and Complexities Based on Sparsity and Clustering for Convex Combinations of Functions from Random Classes,1,
Estimating Functions for Blind Separation When Sources Have Variance Dependencies,2,
A Modified Finite Newton Method for Fast Solution of Large Scale Linear SVMs,2,
Maximum Margin Algorithms with Boolean Kernels,2,
Dimension Reduction in Text Classification with Support Vector Machines,4,
Assessing Approximate Inference for Binary Gaussian Process Classification,2,
Diffusion Kernels on Statistical Manifolds,2,
Tutorial on Practical Prediction Theory for Classification,1,
Probabilistic Non-linear Principal Component Analysis with Gaussian Process Latent Variable Models,1,
Active Learning to Recognize Multiple Types of Plankton,7,
Learning with Decision Lists of Data-Dependent Features,3,
Analysis of Variance of Cross-Validation Estimators of the Generalization Error,4,
Algorithmic Stability and Meta-Learning,1,
Learning the Kernel Function via Regularization,2,
Asymptotics in Empirical Risk Minimization,2,
A Generalization Error for Q-Learning,1,
Machine Learning Methods for Predicting Failures in Hard Drives: {A} Multiple-Instance Application,3,
Inner Product Spaces for Bayesian Networks,4,
Learning the Kernel with Hyperkernels,4,
Expectation Consistent Approximate Inference,2,
Frames  Reproducing Kernels  Regularization and Learning,2,
Efficient Margin Maximizing with Boosting,2,
Efficient Computation of Gapped Substring Kernels on Large Alphabets,2,
Asymptotic Model Selection for Naive Bayesian Networks,2,
Denoising Source Separation,2,
Learning Module Networks,5,
An MDP-Based Recommender System,3,
Combining Information Extraction Systems Using Voting and Stacked Generalization,4,
A Classification Framework for Anomaly Detection,3,
Core Vector Machines: Fast {SVM} Training on Very Large Data Sets,3,
Large Margin Methods for Structured and Interdependent Output Variables,4,
Matrix Exponentiated Gradient Updates for On-line Learning and Bregman Projection,3,
Learning from Examples as an Inverse Problem,5,
Prioritization Methods for Accelerating {MDP} Solvers,2,
Variational Message Passing,2,
Feature Selection for Unsupervised and Supervised Inference: The Emergence of Sparsity in a Weight-Based Approach,2,
What's Strange About Recent Events {(WSARE):} An Algorithm for the Early Detection of Disease Outbreaks,4,
Characterization of a Family of Algorithms for Generalized Discriminant Analysis on Undersampled Problems,1,
Change Point Problems in Linear Dynamical Systems,2,
73,198,2.712328767
